annotator_id,instance_id,reliability_group_id,is_reliability_repeat,source,repo,pr_number,pr_url,title,existing_score,missing_evidence,dossier_text,intent_evidence_label,intent_evidence_comment,requirement_evidence_label,requirement_evidence_comment,test_evidence_label,test_evidence_comment,risk_analysis_label,risk_analysis_comment,scope_evidence_label,scope_evidence_comment,trace_evidence_label,trace_evidence_comment,dependency_evidence_label,dependency_evidence_comment,regression_evidence_label,regression_evidence_comment,rationale_evidence_label,rationale_evidence_comment,ownership_handoff_label,ownership_handoff_comment,overall_acceptability,review_confidence
external_auditor,pop_Azure_azqr_490,pop_Azure_azqr_490,False,outputs\population_ai_pr_500_20260616\dossiers\pop_Azure_azqr_490.json,Azure/azqr,490,https://github.com/Azure/azqr/pull/490,,41.4,regression_evidence;trace_evidence;limitations;rationale_evidence;ownership_handoff,"agent_trace:
  present: False
  quality: 0
  claim: 
  notes: No agent logs, tool logs, command logs, reasoning summaries, or explicit agent trace found.

change_summary:
  present: True
  quality: 2
  claim: 5 files changed (+0/-0): .gitignore, azqr, cmd/azqr/commands/scan.go, docs/content/en/docs/Usage/_index.md, internal/scanner.go
  grounding: files
  notes: Observed from changed file metadata, commits, or PR body.

intent:
  present: True
  quality: 2
  claim: Remove deprecated ForceAzureCliCredential parameter
  grounding: title/body
  notes: Observed from PR title/body or linked issue.

limitations:
  present: False
  quality: 0
  claim: 
  notes: No known limitations, follow-ups, partial implementation notes, TODOs, or constraints found.

ownership_handoff:
  present: False
  quality: 0
  claim: 
  notes: No owner, rollout, monitoring, manual step, follow-up responsibility, or maintainer handoff found.

regression_safety:
  present: False
  quality: 0
  claim: 
  notes: No passing check metadata or regression-safety discussion found.

requirement_traceability:
  present: True
  quality: 1
  claim: PR references linked issue or issue-style requirement.
  grounding: issue reference
  notes: Observed from linked issue metadata or issue reference in PR body.

reviewer_actionability:
  present: False
  quality: 0
  claim: 
  notes: No clear review instructions, validation steps, test commands, or inspection guidance found.

risk_analysis:
  present: True
  quality: 1
  claim: Risk-related language appears in PR text or comments.
  grounding: risk terms
  notes: Observed risk language; quality remains thin unless the text provides a concrete analysis.

scope_justification:
  present: True
  quality: 1
  claim: 5 files changed (+0/-0): .gitignore, azqr, cmd/azqr/commands/scan.go, docs/content/en/docs/Usage/_index.md, internal/scanner.go
  grounding: files
  notes: Inferred from changed file metadata; explicit scope rationale was not assumed.

test_rationale:
  present: True
  quality: 1
  claim: Test evidence observed from files, checks, or PR body.
  grounding: test checks
  notes: Evidence is observed; metadata-only test signals are marked as thin.",,,,,,,,,,,,,,,,,,,,,,
external_auditor,pop_CitizensFoundation_your-priorities-app_238,pop_CitizensFoundation_your-priorities-app_238,False,outputs\population_ai_pr_500_20260616\dossiers\pop_CitizensFoundation_your-priorities-app_238.json,CitizensFoundation/your-priorities-app,238,https://github.com/CitizensFoundation/your-priorities-app/pull/238,,28.2,requirement_evidence;regression_evidence;risk_analysis;trace_evidence;limitations;rationale_evidence;ownership_handoff,"agent_trace:
  present: False
  quality: 0
  claim: 
  notes: No agent logs, tool logs, command logs, reasoning summaries, or explicit agent trace found.

change_summary:
  present: True
  quality: 2
  claim: 1 files changed (+0/-0): server_api/src/controllers/users.cjs
  grounding: files
  notes: Observed from changed file metadata, commits, or PR body.

intent:
  present: True
  quality: 2
  claim: Add env redirect after Audkenni login
  grounding: title/body
  notes: Observed from PR title/body or linked issue.

limitations:
  present: False
  quality: 0
  claim: 
  notes: No known limitations, follow-ups, partial implementation notes, TODOs, or constraints found.

ownership_handoff:
  present: False
  quality: 0
  claim: 
  notes: No owner, rollout, monitoring, manual step, follow-up responsibility, or maintainer handoff found.

regression_safety:
  present: False
  quality: 0
  claim: 
  notes: No passing check metadata or regression-safety discussion found.

requirement_traceability:
  present: False
  quality: 0
  claim: 
  notes: No linked issue, closing keyword, or issue reference found.

reviewer_actionability:
  present: False
  quality: 0
  claim: 
  notes: No clear review instructions, validation steps, test commands, or inspection guidance found.

risk_analysis:
  present: False
  quality: 0
  claim: 
  notes: No risk, breaking-change, compatibility, security, migration, rollback, or regression-risk discussion found.

scope_justification:
  present: True
  quality: 1
  claim: 1 files changed (+0/-0): server_api/src/controllers/users.cjs
  grounding: files
  notes: Inferred from changed file metadata; explicit scope rationale was not assumed.

test_rationale:
  present: True
  quality: 1
  claim: Test evidence observed from files, checks, or PR body.
  grounding: test checks
  notes: Evidence is observed; metadata-only test signals are marked as thin.",,,,,,,,,,,,,,,,,,,,,,
external_auditor,pop_EvotecIT_Mailozaurr_69,pop_EvotecIT_Mailozaurr_69,False,outputs\population_ai_pr_500_20260616\dossiers\pop_EvotecIT_Mailozaurr_69.json,EvotecIT/Mailozaurr,69,https://github.com/EvotecIT/Mailozaurr/pull/69,,33.15,requirement_evidence;regression_evidence;risk_analysis;trace_evidence;limitations;rationale_evidence;ownership_handoff,"agent_trace:
  present: False
  quality: 0
  claim: 
  notes: No agent logs, tool logs, command logs, reasoning summaries, or explicit agent trace found.

change_summary:
  present: True
  quality: 2
  claim: 1 files changed (+0/-0): Sources/Mailozaurr.PowerShell/CmdletGetPOPMessage.cs
  grounding: files
  notes: Observed from changed file metadata, commits, or PR body.

intent:
  present: True
  quality: 2
  claim: Update POP message retrieval
  grounding: title/body
  notes: Observed from PR title/body or linked issue.

limitations:
  present: False
  quality: 0
  claim: 
  notes: No known limitations, follow-ups, partial implementation notes, TODOs, or constraints found.

ownership_handoff:
  present: False
  quality: 0
  claim: 
  notes: No owner, rollout, monitoring, manual step, follow-up responsibility, or maintainer handoff found.

regression_safety:
  present: False
  quality: 0
  claim: 
  notes: No passing check metadata or regression-safety discussion found.

requirement_traceability:
  present: False
  quality: 0
  claim: 
  notes: No linked issue, closing keyword, or issue reference found.

reviewer_actionability:
  present: False
  quality: 0
  claim: 
  notes: No clear review instructions, validation steps, test commands, or inspection guidance found.

risk_analysis:
  present: False
  quality: 0
  claim: 
  notes: No risk, breaking-change, compatibility, security, migration, rollback, or regression-risk discussion found.

scope_justification:
  present: True
  quality: 2
  claim: 1 files changed (+0/-0): Sources/Mailozaurr.PowerShell/CmdletGetPOPMessage.cs; touched dirs: Sources
  grounding: files
  notes: Observed changed file metadata plus explicit PR body scope explanation.

test_rationale:
  present: True
  quality: 1
  claim: Test evidence observed from files, checks, or PR body.
  grounding: test checks
  notes: Evidence is observed; metadata-only test signals are marked as thin.",,,,,,,,,,,,,,,,,,,,,,
external_auditor,pop_MontrealAI_AGI-Alpha-Agent-v0_2176,pop_MontrealAI_AGI-Alpha-Agent-v0_2176,False,outputs\population_ai_pr_500_20260616\dossiers\pop_MontrealAI_AGI-Alpha-Agent-v0_2176.json,MontrealAI/AGI-Alpha-Agent-v0,2176,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2176,,28.2,requirement_evidence;regression_evidence;risk_analysis;trace_evidence;limitations;rationale_evidence;ownership_handoff,"agent_trace:
  present: False
  quality: 0
  claim: 
  notes: No agent logs, tool logs, command logs, reasoning summaries, or explicit agent trace found.

change_summary:
  present: True
  quality: 2
  claim: 1 files changed (+0/-0): alpha_factory_v1/demos/self_healing_repo/README.md
  grounding: files
  notes: Observed from changed file metadata, commits, or PR body.

intent:
  present: True
  quality: 2
  claim: [alpha_factory] document self-healing dependencies
  grounding: title/body
  notes: Observed from PR title/body or linked issue.

limitations:
  present: False
  quality: 0
  claim: 
  notes: No known limitations, follow-ups, partial implementation notes, TODOs, or constraints found.

ownership_handoff:
  present: False
  quality: 0
  claim: 
  notes: No owner, rollout, monitoring, manual step, follow-up responsibility, or maintainer handoff found.

regression_safety:
  present: False
  quality: 0
  claim: 
  notes: No passing check metadata or regression-safety discussion found.

requirement_traceability:
  present: False
  quality: 0
  claim: 
  notes: No linked issue, closing keyword, or issue reference found.

reviewer_actionability:
  present: False
  quality: 0
  claim: 
  notes: No clear review instructions, validation steps, test commands, or inspection guidance found.

risk_analysis:
  present: False
  quality: 0
  claim: 
  notes: No risk, breaking-change, compatibility, security, migration, rollback, or regression-risk discussion found.

scope_justification:
  present: True
  quality: 1
  claim: 1 files changed (+0/-0): alpha_factory_v1/demos/self_healing_repo/README.md
  grounding: files
  notes: Inferred from changed file metadata; explicit scope rationale was not assumed.

test_rationale:
  present: True
  quality: 1
  claim: Test evidence observed from files, checks, or PR body.
  grounding: test checks
  notes: Evidence is observed; metadata-only test signals are marked as thin.",,,,,,,,,,,,,,,,,,,,,,
external_auditor,pop_MontrealAI_AGI-Alpha-Agent-v0_60,pop_MontrealAI_AGI-Alpha-Agent-v0_60,False,outputs\population_ai_pr_500_20260616\dossiers\pop_MontrealAI_AGI-Alpha-Agent-v0_60.json,MontrealAI/AGI-Alpha-Agent-v0,60,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/60,,28.2,requirement_evidence;regression_evidence;risk_analysis;trace_evidence;limitations;rationale_evidence;ownership_handoff,"agent_trace:
  present: False
  quality: 0
  claim: 
  notes: No agent logs, tool logs, command logs, reasoning summaries, or explicit agent trace found.

change_summary:
  present: True
  quality: 2
  claim: 3 files changed (+0/-0): alpha_factory_v1/dashboards/README.md, alpha_factory_v1/dashboards/alpha_factory_overview.json, alpha_factory_v1/docs/grafana/dashboards/alpha_factory_overview.json
  grounding: files
  notes: Observed from changed file metadata, commits, or PR body.

intent:
  present: True
  quality: 2
  claim: Improve Grafana dashboard defaults
  grounding: title/body
  notes: Observed from PR title/body or linked issue.

limitations:
  present: False
  quality: 0
  claim: 
  notes: No known limitations, follow-ups, partial implementation notes, TODOs, or constraints found.

ownership_handoff:
  present: False
  quality: 0
  claim: 
  notes: No owner, rollout, monitoring, manual step, follow-up responsibility, or maintainer handoff found.

regression_safety:
  present: False
  quality: 0
  claim: 
  notes: No passing check metadata or regression-safety discussion found.

requirement_traceability:
  present: False
  quality: 0
  claim: 
  notes: No linked issue, closing keyword, or issue reference found.

reviewer_actionability:
  present: False
  quality: 0
  claim: 
  notes: No clear review instructions, validation steps, test commands, or inspection guidance found.

risk_analysis:
  present: False
  quality: 0
  claim: 
  notes: No risk, breaking-change, compatibility, security, migration, rollback, or regression-risk discussion found.

scope_justification:
  present: True
  quality: 1
  claim: 3 files changed (+0/-0): alpha_factory_v1/dashboards/README.md, alpha_factory_v1/dashboards/alpha_factory_overview.json, alpha_factory_v1/docs/grafana/dashboards/alpha_factory_overview.json
  grounding: files
  notes: Inferred from changed file metadata; explicit scope rationale was not assumed.

test_rationale:
  present: True
  quality: 1
  claim: Test evidence observed from files, checks, or PR body.
  grounding: test checks
  notes: Evidence is observed; metadata-only test signals are marked as thin.",,,,,,,,,,,,,,,,,,,,,,
external_auditor,pop_OpenAgentsInc_openagents_911,pop_OpenAgentsInc_openagents_911,False,outputs\population_ai_pr_500_20260616\dossiers\pop_OpenAgentsInc_openagents_911.json,OpenAgentsInc/openagents,911,https://github.com/OpenAgentsInc/openagents/pull/911,,28.2,requirement_evidence;regression_evidence;risk_analysis;trace_evidence;limitations;rationale_evidence;ownership_handoff,"agent_trace:
  present: False
  quality: 0
  claim: 
  notes: No agent logs, tool logs, command logs, reasoning summaries, or explicit agent trace found.

change_summary:
  present: True
  quality: 2
  claim: 17 files changed (+0/-0): .githooks/pre-push, README.md, docs/CLI.md, docs/logs/20250604/2237-log.md, packages/ai/src/providers/ClaudeCodeClient.ts, packages/ai/src/providers/ClaudeCodeProvider.ts, packages/ai/src/providers/ClaudeCodePty.ts, packages/cli/src/Cli.ts
  grounding: files
  notes: Observed from changed file metadata, commits, or PR body.

intent:
  present: True
  quality: 2
  claim: fix(ai): Fix Claude Code CLI integration issues
  grounding: title/body
  notes: Observed from PR title/body or linked issue.

limitations:
  present: False
  quality: 0
  claim: 
  notes: No known limitations, follow-ups, partial implementation notes, TODOs, or constraints found.

ownership_handoff:
  present: False
  quality: 0
  claim: 
  notes: No owner, rollout, monitoring, manual step, follow-up responsibility, or maintainer handoff found.

regression_safety:
  present: False
  quality: 0
  claim: 
  notes: No passing check metadata or regression-safety discussion found.

requirement_traceability:
  present: False
  quality: 0
  claim: 
  notes: No linked issue, closing keyword, or issue reference found.

reviewer_actionability:
  present: False
  quality: 0
  claim: 
  notes: No clear review instructions, validation steps, test commands, or inspection guidance found.

risk_analysis:
  present: False
  quality: 0
  claim: 
  notes: No risk, breaking-change, compatibility, security, migration, rollback, or regression-risk discussion found.

scope_justification:
  present: True
  quality: 1
  claim: 17 files changed (+0/-0): .githooks/pre-push, README.md, docs/CLI.md, docs/logs/20250604/2237-log.md, packages/ai/src/providers/ClaudeCodeClient.ts, packages/ai/src/providers/ClaudeCodeProvider.ts, packages/ai/src/providers/ClaudeCodePty.ts, packages/cli/src/Cli.ts
  grounding: files
  notes: Inferred from changed file metadata; explicit scope rationale was not assumed.

test_rationale:
  present: True
  quality: 1
  claim: Test evidence observed from files, checks, or PR body.
  grounding: test checks
  notes: Evidence is observed; metadata-only test signals are marked as thin.",,,,,,,,,,,,,,,,,,,,,,
external_auditor,pop_PolicyEngine_policyengine-us_6061,pop_PolicyEngine_policyengine-us_6061,False,outputs\population_ai_pr_500_20260616\dossiers\pop_PolicyEngine_policyengine-us_6061.json,PolicyEngine/policyengine-us,6061,https://github.com/PolicyEngine/policyengine-us/pull/6061,,27.65,test_evidence;regression_evidence;risk_analysis;trace_evidence;limitations;rationale_evidence;ownership_handoff,"agent_trace:
  present: False
  quality: 0
  claim: 
  notes: No agent logs, tool logs, command logs, reasoning summaries, or explicit agent trace found.

change_summary:
  present: True
  quality: 2
  claim: 3 files changed (+0/-0): changelog_entry.yaml, policyengine_us/variables/household/expense/vehicle/auto_loan_balance.py, policyengine_us/variables/household/expense/vehicle/auto_loan_interest.py
  grounding: files
  notes: Observed from changed file metadata, commits, or PR body.

intent:
  present: True
  quality: 2
  claim: Fix uprating path for auto loan variables
  grounding: title/body
  notes: Observed from PR title/body or linked issue.

limitations:
  present: False
  quality: 0
  claim: 
  notes: No known limitations, follow-ups, partial implementation notes, TODOs, or constraints found.

ownership_handoff:
  present: False
  quality: 0
  claim: 
  notes: No owner, rollout, monitoring, manual step, follow-up responsibility, or maintainer handoff found.

regression_safety:
  present: False
  quality: 0
  claim: 
  notes: No passing check metadata or regression-safety discussion found.

requirement_traceability:
  present: True
  quality: 1
  claim: PR references linked issue or issue-style requirement.
  grounding: issue reference
  notes: Observed from linked issue metadata or issue reference in PR body.

reviewer_actionability:
  present: False
  quality: 0
  claim: 
  notes: No clear review instructions, validation steps, test commands, or inspection guidance found.

risk_analysis:
  present: False
  quality: 0
  claim: 
  notes: No risk, breaking-change, compatibility, security, migration, rollback, or regression-risk discussion found.

scope_justification:
  present: True
  quality: 1
  claim: 3 files changed (+0/-0): changelog_entry.yaml, policyengine_us/variables/household/expense/vehicle/auto_loan_balance.py, policyengine_us/variables/household/expense/vehicle/auto_loan_interest.py
  grounding: files
  notes: Inferred from changed file metadata; explicit scope rationale was not assumed.

test_rationale:
  present: False
  quality: 0
  claim: 
  notes: No changed test files, test checks, or PR body test rationale found.",,,,,,,,,,,,,,,,,,,,,,
external_auditor,pop_acoyfellow_UserDO_26,pop_acoyfellow_UserDO_26,False,outputs\population_ai_pr_500_20260616\dossiers\pop_acoyfellow_UserDO_26.json,acoyfellow/UserDO,26,https://github.com/acoyfellow/UserDO/pull/26,,28.2,requirement_evidence;regression_evidence;risk_analysis;trace_evidence;limitations;rationale_evidence;ownership_handoff,"agent_trace:
  present: False
  quality: 0
  claim: 
  notes: No agent logs, tool logs, command logs, reasoning summaries, or explicit agent trace found.

change_summary:
  present: True
  quality: 2
  claim: 12 files changed (+0/-0): README.md, examples/alchemy/tsconfig.json, examples/hono/bun.lock, examples/hono/index.tsx, examples/hono/package.json, examples/react-vite/README.md, examples/react-vite/bun.lock, examples/react-vite/package.json
  grounding: files
  notes: Observed from changed file metadata, commits, or PR body.

intent:
  present: True
  quality: 2
  claim: Improve binding diagnostics
  grounding: title/body
  notes: Observed from PR title/body or linked issue.

limitations:
  present: False
  quality: 0
  claim: 
  notes: No known limitations, follow-ups, partial implementation notes, TODOs, or constraints found.

ownership_handoff:
  present: False
  quality: 0
  claim: 
  notes: No owner, rollout, monitoring, manual step, follow-up responsibility, or maintainer handoff found.

regression_safety:
  present: False
  quality: 0
  claim: 
  notes: No passing check metadata or regression-safety discussion found.

requirement_traceability:
  present: False
  quality: 0
  claim: 
  notes: No linked issue, closing keyword, or issue reference found.

reviewer_actionability:
  present: False
  quality: 0
  claim: 
  notes: No clear review instructions, validation steps, test commands, or inspection guidance found.

risk_analysis:
  present: False
  quality: 0
  claim: 
  notes: No risk, breaking-change, compatibility, security, migration, rollback, or regression-risk discussion found.

scope_justification:
  present: True
  quality: 1
  claim: 12 files changed (+0/-0): README.md, examples/alchemy/tsconfig.json, examples/hono/bun.lock, examples/hono/index.tsx, examples/hono/package.json, examples/react-vite/README.md, examples/react-vite/bun.lock, examples/react-vite/package.json
  grounding: files
  notes: Inferred from changed file metadata; explicit scope rationale was not assumed.

test_rationale:
  present: True
  quality: 1
  claim: Test evidence observed from files, checks, or PR body.
  grounding: test checks
  notes: Evidence is observed; metadata-only test signals are marked as thin.",,,,,,,,,,,,,,,,,,,,,,
external_auditor,pop_antiwork_flexile_186,pop_antiwork_flexile_186,False,outputs\population_ai_pr_500_20260616\dossiers\pop_antiwork_flexile_186.json,antiwork/flexile,186,https://github.com/antiwork/flexile/pull/186,,30.4,test_evidence;regression_evidence;risk_analysis;trace_evidence;limitations;rationale_evidence,"agent_trace:
  present: False
  quality: 0
  claim: 
  notes: No agent logs, tool logs, command logs, reasoning summaries, or explicit agent trace found.

change_summary:
  present: True
  quality: 2
  claim: 1 files changed (+0/-0): apps/next/app/roles/ManageModal.tsx
  grounding: files
  notes: Observed from changed file metadata, commits, or PR body.

intent:
  present: True
  quality: 2
  claim: Migrate roles ManageModal to Shadcn form
  grounding: title/body
  notes: Observed from PR title/body or linked issue.

limitations:
  present: False
  quality: 0
  claim: 
  notes: No known limitations, follow-ups, partial implementation notes, TODOs, or constraints found.

ownership_handoff:
  present: True
  quality: 1
  claim: Ownership, rollout, monitoring, manual steps, follow-up responsibility, or rollback is mentioned.
  grounding: ownership terms
  notes: Observed handoff language.

regression_safety:
  present: False
  quality: 0
  claim: 
  notes: No passing check metadata or regression-safety discussion found.

requirement_traceability:
  present: True
  quality: 1
  claim: PR references linked issue or issue-style requirement.
  grounding: issue reference
  notes: Observed from linked issue metadata or issue reference in PR body.

reviewer_actionability:
  present: False
  quality: 0
  claim: 
  notes: No clear review instructions, validation steps, test commands, or inspection guidance found.

risk_analysis:
  present: False
  quality: 0
  claim: 
  notes: No risk, breaking-change, compatibility, security, migration, rollback, or regression-risk discussion found.

scope_justification:
  present: True
  quality: 1
  claim: 1 files changed (+0/-0): apps/next/app/roles/ManageModal.tsx
  grounding: files
  notes: Inferred from changed file metadata; explicit scope rationale was not assumed.

test_rationale:
  present: False
  quality: 0
  claim: 
  notes: No changed test files, test checks, or PR body test rationale found.",,,,,,,,,,,,,,,,,,,,,,
external_auditor,pop_antiwork_helper_466,pop_antiwork_helper_466,False,outputs\population_ai_pr_500_20260616\dossiers\pop_antiwork_helper_466.json,antiwork/helper,466,https://github.com/antiwork/helper/pull/466,,30.95,requirement_evidence;regression_evidence;risk_analysis;trace_evidence;limitations;rationale_evidence,"agent_trace:
  present: False
  quality: 0
  claim: 
  notes: No agent logs, tool logs, command logs, reasoning summaries, or explicit agent trace found.

change_summary:
  present: True
  quality: 2
  claim: 1 files changed (+0/-0): components/ui/avatar.tsx
  grounding: files
  notes: Observed from changed file metadata, commits, or PR body.

intent:
  present: True
  quality: 2
  claim: Change avatar initials from two letters to one letter
  grounding: title/body
  notes: Observed from PR title/body or linked issue.

limitations:
  present: False
  quality: 0
  claim: 
  notes: No known limitations, follow-ups, partial implementation notes, TODOs, or constraints found.

ownership_handoff:
  present: True
  quality: 1
  claim: Ownership, rollout, monitoring, manual steps, follow-up responsibility, or rollback is mentioned.
  grounding: ownership terms
  notes: Observed handoff language.

regression_safety:
  present: False
  quality: 0
  claim: 
  notes: No passing check metadata or regression-safety discussion found.

requirement_traceability:
  present: False
  quality: 0
  claim: 
  notes: No linked issue, closing keyword, or issue reference found.

reviewer_actionability:
  present: False
  quality: 0
  claim: 
  notes: No clear review instructions, validation steps, test commands, or inspection guidance found.

risk_analysis:
  present: False
  quality: 0
  claim: 
  notes: No risk, breaking-change, compatibility, security, migration, rollback, or regression-risk discussion found.

scope_justification:
  present: True
  quality: 1
  claim: 1 files changed (+0/-0): components/ui/avatar.tsx
  grounding: files
  notes: Inferred from changed file metadata; explicit scope rationale was not assumed.

test_rationale:
  present: True
  quality: 1
  claim: Test evidence observed from files, checks, or PR body.
  grounding: test checks
  notes: Evidence is observed; metadata-only test signals are marked as thin.",,,,,,,,,,,,,,,,,,,,,,
